mistake_id,question_type,mistake_name,description,recommendation,severity
RM001,True/False/Not Given,Confusing False and Not Given,"The user has difficulty distinguishing between information that contradicts the passage and information that is not mentioned.","Practice identifying whether the passage directly contradicts a statement or simply does not mention it.","high"
RM002,Yes/No/Not Given,Opinion Identification,"The user struggles to recognize the writer's opinions and viewpoints.","Focus on identifying opinion words and distinguishing facts from opinions.","high"
RM003,Matching Headings,Main Idea Identification,"The user finds it difficult to identify the main idea of paragraphs.","Practice summarizing each paragraph before selecting a heading.","medium"
RM004,Matching Information,Locating Specific Information,"The user has difficulty finding detailed information within the passage.","Improve scanning skills to quickly locate keywords and supporting details.","medium"
RM005,Multiple Choice,Distractor Selection,"The user is often misled by incorrect answer options.","Read all options carefully and eliminate incorrect choices before selecting the best answer.","medium"
RM006,Sentence Completion,Missing Context,"The user selects words without considering grammatical or contextual accuracy.","Pay attention to grammar and surrounding context before completing sentences.","medium"
RM007,Summary Completion,Paraphrase Recognition,"The user struggles to recognize paraphrased information.","Practice identifying synonyms and paraphrased expressions in academic texts.","high"
RM008,Short Answer Questions,Incomplete Answers,"The user frequently provides incomplete or incorrect short answers.","Follow word limits carefully and answer using words from the passage.","medium"
RM009,Table Completion,Incorrect Detail Matching,"The user has difficulty matching details to the correct table entries.","Practice organizing information while reading tables and diagrams.","medium"
RM010,Flow-chart Completion,Sequence Confusion,"The user struggles to understand the sequence of events or processes.","Focus on transition words such as first, next, after, and finally.","medium"
RM011,Diagram Label Completion,Incorrect Label Placement,"The user has difficulty identifying the correct labels from the passage.","Carefully match labels with descriptions in the corresponding section of the text.","medium"
RM012,General Vocabulary,Limited Academic Vocabulary,"Limited vocabulary reduces overall reading comprehension.","Read academic articles regularly and maintain a vocabulary notebook.","high"
RM013,Time Management,Poor Time Management,"The user spends too much time on difficult questions.","Practice completing full reading tests under timed conditions.","high"
RM014,Inference Questions,Weak Inference Skills,"The user struggles to understand implied meanings.","Practice answering inference questions using evidence from the passage.","high"
RM015,Overall Reading Strategy,Inefficient Reading Strategy,"The user reads every word instead of using skimming and scanning techniques.","Develop skimming for main ideas and scanning for specific information.","medium"
