keyword_id,topic_id,keyword,weight
WK001,WT004,technology,5
WK002,WT004,education,5
WK003,WT004,learning,3
WK004,WT004,students,3
WK005,WT004,online,2
WK006,WT005,environment,5
WK007,WT005,pollution,4
WK008,WT005,government,3
WK009,WT005,climate,4
WK010,WT005,recycling,2
WK011,WT006,education,5
WK012,WT006,university,5
WK013,WT006,free,3
WK014,WT006,students,3
WK015,WT006,tuition,3
WK016,WT007,healthcare,5
WK017,WT007,hospital,3
WK018,WT007,government,3
WK019,WT007,patients,2
WK020,WT007,medical,3
