question_id,keyword,weight
SP001,name,5
SP001,full name,5
SP002,country,5
SP002,city,4
SP002,hometown,4
SP003,student,5
SP003,study,5
SP003,university,4
SP003,work,5
SP003,job,4
SP004,hobby,5
SP004,football,2
SP004,music,2
SP004,reading,2
SP005,food,5
SP005,rice,2
SP005,pizza,2
SP005,momo,2
SP006,trip,5
SP006,travel,5
SP006,place,4
SP006,experience,4
SP007,person,5
SP007,inspiration,5
SP007,teacher,3
SP007,parent,3
SP008,place,5
SP008,beautiful,3
SP008,visit,3
SP009,education,5
SP009,school,4
SP009,learning,4
SP010,technology,5
SP010,internet,4
SP010,communication,5
