topic,essay,label,reason
Advantages and disadvantages of social media,Social media helps people communicate quickly but excessive use can reduce face-to-face interaction.,relevant,Addresses the topic
Advantages and disadvantages of social media,Social media allows businesses to reach more customers but misinformation is a challenge.,relevant,Relevant discussion
Advantages and disadvantages of social media,People can learn new skills through social media although privacy remains a concern.,relevant,Relevant response
Advantages and disadvantages of social media,Using social media makes it easier to stay connected with friends and family.,relevant,Relevant answer
Advantages and disadvantages of social media,Mount Everest is the highest mountain in the world.,irrelevant,Wrong topic
Advantages and disadvantages of social media,I like eating pizza every weekend.,irrelevant,Off-topic

Should students wear school uniforms,School uniforms promote equality and reduce competition among students.,relevant,Addresses the topic
Should students wear school uniforms,Uniforms help students focus on learning instead of fashion.,relevant,Relevant answer
Should students wear school uniforms,Although uniforms limit self-expression they create discipline.,relevant,Relevant discussion
Should students wear school uniforms,Many schools require uniforms to create a professional environment.,relevant,Relevant response
Should students wear school uniforms,Technology has changed modern transportation.,irrelevant,Different topic
Should students wear school uniforms,I enjoy watching football matches with my friends.,irrelevant,Off-topic

Climate change,Climate change causes rising temperatures and more extreme weather events.,relevant,Relevant essay
Climate change,Governments should reduce carbon emissions and promote renewable energy.,relevant,Relevant discussion
Climate change,Individuals can help by recycling and reducing waste.,relevant,Relevant answer
Climate change,Global warming affects agriculture wildlife and human health.,relevant,Relevant response
Climate change,My favorite movie is very interesting.,irrelevant,Wrong topic
Climate change,Cars are becoming more comfortable every year.,irrelevant,Off-topic

Online education,Online learning offers flexibility for students with busy schedules.,relevant,Relevant essay
Online education,Students can study from anywhere using online education.,relevant,Relevant answer
Online education,Although online learning is convenient it requires self-discipline.,relevant,Relevant discussion
Online education,Technology has improved access to quality education online.,relevant,Relevant response
Online education,Nepal has many beautiful mountains.,irrelevant,Different topic
Online education,I like playing basketball every evening.,irrelevant,Off-topic

Tourism in Nepal,Tourism contributes significantly to Nepal's economy.,relevant,Relevant essay
Tourism in Nepal,The Himalayas attract thousands of international visitors every year.,relevant,Relevant answer
Tourism in Nepal,Improving infrastructure can increase tourism in Nepal.,relevant,Relevant discussion
Tourism in Nepal,Cultural heritage sites encourage more tourists to visit Nepal.,relevant,Relevant response
Tourism in Nepal,Students should wear uniforms at school.,irrelevant,Wrong topic
