question_id,correct_answer,acceptable_answers,answer_type,keywords,explanation
RQ001,TRUE,True;T,TRUE_FALSE,"true,correct,statement","The statement exactly matches the information provided in the passage."
RQ002,NOT GIVEN,Not Given;NG,TRUE_FALSE,"not given,missing","The passage does not provide enough information to determine whether the statement is true or false."
RQ003,C,C,MCQ,"heading,main idea","Heading C best summarizes the paragraph."
RQ004,A,A,MCQ,"heading,introduction","Heading A correctly describes the opening paragraph."
RQ005,B,B,MCQ,"option b","Option B is supported by the evidence in the passage."
RQ006,environment,environment;the environment,SHORT_ANSWER,"environment,nature","The passage clearly identifies 'environment' as the missing word."
RQ007,pollution,pollution;air pollution,SUMMARY_COMPLETION,"pollution,environment","The summary refers to pollution discussed in the passage."
RQ008,three days,3 days;three days,SHORT_ANSWER,"three days,duration","The passage specifies a duration of three days."
RQ009,Paragraph D,D,MATCHING_INFORMATION,"paragraph d,information","The required information appears in Paragraph D."
RQ010,temperature,temperature;heat,TABLE_COMPLETION,"temperature,measurement","Temperature correctly completes the table."
RQ011,evaporation,evaporation;water evaporation,FLOW_CHART,"evaporation,process","Evaporation is the first step in the described process."
RQ012,leaf,leaf;leaves,DIAGRAM_LABEL,"leaf,plant","The diagram label corresponds to the leaf."
RQ013,Professor Smith,Smith;Professor Smith,MATCHING_FEATURES,"professor smith,researcher","Professor Smith is associated with the described feature."
RQ014,option C,C,MATCHING_SENTENCE_ENDINGS,"sentence ending","Option C correctly completes the sentence."
RQ015,D,D,MCQ,"option d","Option D is directly supported by the passage."
