question_type,title,description,skill_tested,common_tip
True/False/Not Given,Understanding Statements,"This question type requires you to determine whether a statement agrees with the passage, contradicts it, or is not mentioned at all.","Identifying factual information and distinguishing stated, contradicted, and missing information.","Never assume information. Base every answer only on what is written in the passage."
Yes/No/Not Given,Recognizing Writer's Opinion,"This question type focuses on identifying the writer's opinions, beliefs, or claims rather than simple facts.","Understanding opinions, attitudes, and viewpoints.","Pay attention to opinion words and avoid using your own knowledge."
Matching Headings,Finding Main Ideas,"You must choose the most appropriate heading for each paragraph based on its main idea.","Identifying main ideas and paragraph organization.","Read the entire paragraph before selecting the heading."
Matching Information,Locating Specific Details,"You need to identify the paragraph containing specific information.","Scanning for detailed information.","Use keywords from the question and look for synonyms in the passage."
Multiple Choice,Selecting the Best Answer,"Choose the correct answer from several options using information from the passage.","Detailed comprehension and comparison.","Eliminate incorrect options before choosing the best answer."
Sentence Completion,Completing Sentences,"Complete sentences using words from the reading passage.","Understanding context and grammar.","Follow the word limit and ensure grammatical accuracy."
Summary Completion,Completing Summaries,"Fill missing words in a summary using information from the passage.","Recognizing paraphrased information.","Look for synonyms and paraphrases instead of identical words."
Short Answer Questions,Answering Direct Questions,"Answer questions using words taken directly from the passage.","Finding precise factual information.","Keep answers within the required word limit."
Table Completion,Completing Tables,"Complete missing information in a table based on the reading passage.","Organizing factual information.","Understand how the table is structured before searching for answers."
Flow-chart Completion,Understanding Processes,"Complete a flow chart using information from the passage.","Following sequences and processes.","Pay attention to transition words such as first, next, then, and finally."
Diagram Label Completion,Labeling Diagrams,"Identify the correct labels for parts of a diagram using the passage.","Connecting textual descriptions with visual information.","Study both the diagram and the relevant paragraph carefully before answering."
Matching Features,Matching Characteristics,"Match statements or features with the correct people, places, or items.","Comparing multiple pieces of information.","Check each option carefully because some may be used more than once."
Matching Sentence Endings,Completing Ideas,"Choose the correct ending to complete a sentence logically.","Understanding sentence meaning and context.","Read both halves carefully before making your choice."
