text,label,reason
This essay discusses the advantages of online education.,normal,Meaningful sentence
Students should improve their communication skills.,normal,Valid English
Technology has changed the way people communicate.,normal,Meaningful response
The graph shows a gradual increase in sales.,normal,Valid writing
I strongly believe that education is important.,normal,Complete sentence
Many people prefer public transportation because it is affordable.,normal,Meaningful response
Exercise helps people stay healthy and active.,normal,Valid text
Climate change affects every country in the world.,normal,Correct English
Children should spend more time reading books.,normal,Meaningful sentence
My hometown is famous for its natural beauty.,normal,Valid response
I usually play football after school.,normal,Meaningful response
The government should invest more in healthcare.,normal,Correct English
Online shopping has become more popular in recent years.,normal,Valid sentence
Learning English opens many career opportunities.,normal,Meaningful text
Tourism plays an important role in Nepal's economy.,normal,Correct response
Artificial intelligence is changing modern education.,normal,Valid sentence
Reading books improves vocabulary and knowledge.,normal,Meaningful response
Many students enjoy learning with technology.,normal,Valid English
The internet makes communication easier.,normal,Correct sentence
People should recycle plastic to protect the environment.,normal,Meaningful text
Traveling helps people understand different cultures.,normal,Valid response
Good time management reduces stress.,normal,Meaningful sentence
Parents should encourage children to exercise regularly.,normal,Correct English
Renewable energy helps reduce pollution.,normal,Valid writing
Public parks improve the quality of life.,normal,Meaningful response
Computers have become essential in modern workplaces.,normal,Correct sentence
Education should be available to everyone.,normal,Valid response
Healthy eating habits prevent many diseases.,normal,Meaningful English
Many companies allow employees to work from home.,normal,Valid writing
Teamwork improves productivity in organizations.,normal,Meaningful response

asdfghjkl,random,Keyboard smash
qwertyuiop,random,Keyboard smash
zxcvbnm,random,Keyboard smash
kjdfhskdjfh,random,Gibberish
sjdkfjskdfjskd,random,Gibberish
hfjdhfjdhfjdhf,random,Meaningless characters
kfjdkslfj skdjfks jfdskl,random,Gibberish words
asdf qwer zxcv poiuy,random,Random keyboard input
aaaaaaaaaaaaaaaaaaaa,random,Repeated character
bbbbbbbbbbbbbbbbbbbb,random,Repeated character
cccccccccccccccccccc,random,Repeated character
11111111111111111111,random,Repeated number
!!!!!!!!!!!!!!!!!,random,Symbols only
@@@@@@@@@@@@@@@@@@,random,Symbols only
####$$$$%%%%^^^^,random,Random symbols
1234567890,random,Numbers only
9876543210,random,Numbers only
*&^%$#@!)(*&^%$,random,Random punctuation
abc123xyz987###,random,Mixed meaningless text
lorem ipsum dolor sit amet,random,Placeholder text
apple chair sky banana table river,random,Random unrelated words
red blue green yellow orange cat,random,Unrelated word list
dog computer mountain spoon cloud,random,Random words
banana banana banana banana banana,random,Repeated word
