min_score,max_score,band,performance_level,feedback,strengths,weaknesses,recommendations
39,40,9,Excellent,"Outstanding reading performance with near-perfect comprehension. You accurately identified almost all key information and demonstrated excellent understanding of complex academic texts.","Excellent comprehension; Strong vocabulary; Accurate inference skills; Very effective time management.","Very few noticeable weaknesses.","Continue practicing advanced academic passages to maintain Band 9 performance."
37,38,8.5,Excellent,"Your reading performance is excellent with only a few minor mistakes. You demonstrate a strong ability to understand complex texts.","Strong scanning and skimming skills; Good understanding of detailed information.","Occasional careless mistakes on difficult questions.","Review challenging passages carefully and continue practicing under timed conditions."
35,36,8,Very Good,"You have a strong reading ability and understand most academic passages accurately.","Good vocabulary; Strong comprehension; Good inference ability.","Minor errors in complex question types such as Matching Headings or True/False/Not Given.","Practice more advanced inference and paraphrasing questions."
33,34,7.5,Very Good,"Your reading skills are above average and you can identify most important information correctly.","Good understanding of academic texts; Effective scanning.","Sometimes misses implicit meanings or subtle details.","Improve inference skills and expand academic vocabulary."
30,32,7,Good,"You demonstrate good reading comprehension and can answer most questions correctly.","Good understanding of main ideas; Reasonable vocabulary knowledge.","Difficulty with complex vocabulary, paraphrasing, and inference questions.","Practice academic vocabulary, paraphrasing techniques, and timed reading exercises."
27,29,6.5,Good,"Your reading performance is satisfactory, but greater consistency is needed for higher band scores.","Can identify straightforward information accurately.","Errors occur when questions require deeper analysis or inference.","Practice identifying writer opinions, paraphrases, and implied meanings."
23,26,6,Fair,"Your reading ability is developing and you can understand basic academic texts.","Basic comprehension of passages.","Frequent mistakes in detailed and inference-based questions.","Read more academic articles and practice identifying key ideas and supporting details."
19,22,5.5,Fair,"Your reading performance needs improvement before reaching higher IELTS bands.","Able to answer simple factual questions.","Weak vocabulary and limited inference skills.","Improve vocabulary and practice reading under timed conditions."
15,18,5,Needs Improvement,"You can understand some parts of the passage but struggle with complex information.","Basic understanding of simple texts.","Difficulty with inference, paraphrasing, and complex sentence structures.","Build vocabulary, practice scanning, and read English newspapers or articles daily."
10,14,4.5,Poor,"Your reading comprehension is limited and many question types remain challenging.","Recognizes some familiar words and phrases.","Unable to understand longer or more complex passages.","Focus on improving basic grammar, vocabulary, and daily reading practice."
5,9,4,Poor,"Your reading skills are below the expected IELTS level.","Can identify limited direct information.","Struggles with most academic reading tasks.","Practice beginner to intermediate reading materials before attempting IELTS passages."
0,4,3,Very Poor,"Your current reading ability is very limited and significant improvement is needed.","Shows basic awareness of English words.","Unable to understand most passage content.","Start with beginner English reading materials and gradually increase difficulty."
