question,response,label,reason
What is your name?,My name is John.,relevant,Answers the question directly
What is your name?,I am Sarah.,relevant,Direct introduction
What is your name?,People usually call me David.,relevant,Correct response
What is your name?,My full name is Nayan Thapa.,relevant,Answers correctly
What is your name?,I like playing football.,irrelevant,Off-topic
What is your name?,Nepal is a beautiful country.,irrelevant,Different topic

Where do you live?,I live in Kathmandu.,relevant,Correct location
Where do you live?,I live in Pokhara with my family.,relevant,Answers the question
Where do you live?,Currently I live in Lalitpur.,relevant,Relevant answer
Where do you live?,I stay in Bhaktapur.,relevant,Relevant response
Where do you live?,My favorite subject is English.,irrelevant,Off-topic
Where do you live?,I enjoy listening to music.,irrelevant,Not related

What do you do in your free time?,I usually read books and watch movies.,relevant,Relevant hobby
What do you do in your free time?,I like playing football with my friends.,relevant,Answers correctly
What do you do in your free time?,I spend my free time learning programming.,relevant,Relevant activity
What do you do in your free time?,I often travel around Nepal.,relevant,Relevant answer
What do you do in your free time?,My father is a teacher.,irrelevant,Different topic
What do you do in your free time?,Yesterday it was raining.,irrelevant,Does not answer

Describe your hometown.,My hometown is Pokhara. It is famous for its lakes.,relevant,Relevant description
Describe your hometown.,I come from Kathmandu where many temples are located.,relevant,Correct description
Describe your hometown.,My hometown is peaceful and beautiful.,relevant,Relevant answer
Describe your hometown.,It has clean streets and friendly people.,relevant,Continues description
Describe your hometown?,I want to become an engineer.,irrelevant,Off-topic
Describe your hometown?,Pizza is my favorite food.,irrelevant,Different topic

What is your favorite food?,My favorite food is momo.,relevant,Answers correctly
What is your favorite food?,I enjoy eating pizza.,relevant,Relevant answer
What is your favorite food?,I like dal bhat because it is healthy.,relevant,Relevant explanation
What is your favorite food?,I love pasta and noodles.,relevant,Correct response
What is your favorite food?,I usually wake up at 6 AM.,irrelevant,Off-topic
What is your favorite food?,Mount Everest is very high.,irrelevant,Different topic

Why are you learning English?,I want to study abroad.,relevant,Correct reason
Why are you learning English?,English helps me communicate internationally.,relevant,Relevant answer
Why are you learning English?,I need English for my career.,relevant,Relevant explanation
Why are you learning English?,I enjoy learning new languages.,relevant,Correct response
